,date,shot,fuel,oxidizer,diluent,t_0,u_t_0,p_0_nom,p_0,u_p_0,phi_nom,phi,u_phi,dil_mf_nom,dil_mf,u_dil_mf,wave_speed,u_wave_speed,t_ad,cj_speed,sound_speed,dil_mf_co2e,u_dil_mf_co2e
13,2020-12-10,1,CH4,N2O,N2,288.5840650137732,3.487385300359083,101325.0,101371.94554689212,6.399049013958628,0.7,0.7359139905664412,0.0004032105811696,0.2,0.356987714207064,5.992177116782123e-05,1898.220640569395,2.38833574223332,2587.1066620474307,1966.585122032892,1074.7647254023332,0.356987714207064,5.992177116782123e-05
14,2020-12-08,2,CH4,N2O,CO2,290.42502664486545,3.4873852692902068,101325.0,101393.90471136128,6.225868150527693,1.0,1.046845081355244,0.0003707587078581,0.1,0.1030854190836046,6.24181355064936e-05,2032.0,2.736839960707208,2796.349856761602,2077.573207240904,1123.433421936989,0.1030854190836046,6.24181355064936e-05
15,2020-11-23,2,CH4,N2O,N2,290.07640354244097,3.4873852553712097,101325.0,101363.2792829969,3.219678642593141,0.4,0.4263162809429546,0.0005120429841312,0.15,0.2535570237809045,8.204222131147255e-05,1805.07614213198,2.159698106023387,2449.6667992227226,1900.2767002093285,1043.4112245301503,0.2535570237809045,8.204222131147255e-05
16,2020-12-09,2,CH4,N2O,CO2,291.8358629983124,3.487385275999828,101325.0,101450.42745259298,2.637379347934368,1.0,1.0431822281858072,0.0003434968752424,0.2,0.2054669887586572,5.29942647696652e-05,1905.0,2.4054257467153697,2664.663812436431,1948.350687509575,1052.851536535013,0.2054669887586572,5.29942647696652e-05
17,2020-11-25,2,CH4,N2O,CO2,290.3574489981166,3.4873852728663497,101325.0,101342.61368627244,3.367272717118746,0.7,0.7368240077156714,0.0003749541482429,0.1,0.1047061895703833,7.297060127615761e-05,1950.2742230347349,2.521119064499844,2721.958739797112,1992.5207334454376,1078.7029003570822,0.1047061895703833,7.297060127615761e-05
18,2020-11-26,2,CH4,N2O,CO2,290.7233423039494,3.493192712750315,101325.0,101394.62169577292,2.986653977620823,1.0,1.0529077797059092,0.0004744566754612,0.15,0.1549752427279319,7.597407138747222e-05,1950.2742230347349,2.521119064499844,2731.09641733337,2013.2769260578727,1088.1124040621612,0.1549752427279319,7.597407138747222e-05
19,2020-11-24,2,CH4,N2O,N2,289.57788431998904,3.487385260138391,101325.0,101389.74868779394,3.18640478966214,0.4,0.4169433991702668,0.0003468096750527,0.1,0.1814096044799048,6.246083407856347e-05,1858.5365853658536,2.2895188546963863,2518.7379746069687,1926.194424012887,1054.8442086772666,0.1814096044799048,6.246083407856347e-05
20,2020-12-27,2,CH4,N2O,N2,292.35606426214525,3.4873852662343845,101325.0,101411.52370999604,5.33770509252737,1.0,1.077131188367156,0.0005140893373396,0.2,0.3848468047640733,6.403072502535252e-05,1971.9038817005544,2.577350474304554,2661.39953753321,2031.2316820056997,1108.1992281522166,0.3848468047640733,6.403072502535252e-05
21,2020-12-27,3,CH4,N2O,N2,292.8256753160014,3.4873852764825988,101325.0,101379.21362323142,5.248302193721466,1.0,1.0799873646016005,0.000536592038131,0.2,0.3847965816837271,6.561847546392613e-05,2005.2631578947369,2.6652916861111677,2661.6417066897952,2031.6996314372,1108.485495901241,0.3847965816837271,6.561847546392613e-05
22,2020-12-10,3,CH4,N2O,N2,289.21467035468925,3.487385253981811,101325.0,101353.74197412776,3.641768205130151,1.0,1.047125134844628,0.0003524343512193,0.1,0.2295142704289034,5.338508189957028e-05,2087.671232876712,2.8888580932591323,2795.331474556541,2111.09803253738,1146.899830609893,0.2295142704289034,5.338508189957028e-05
23,2020-12-09,3,CH4,N2O,CO2,291.9515503193209,3.4873852517431594,101325.0,101441.70221876238,2.40634373221554,0.7,0.7285390436978567,0.0003156748393221,0.2,0.2057157006655336,5.345176616781141e-05,1802.027027027027,2.152407991034615,2583.404244999815,1873.4855783129167,1014.026011554156,0.2057157006655336,5.345176616781141e-05
24,2020-12-08,3,CH4,N2O,CO2,290.9894707740752,3.487385245730332,101325.0,101389.97812947912,4.771480343775224,0.4,0.4220717261565604,0.0003375353607963,0.1,0.1038983051325568,6.844352876689347e-05,1792.9411764705883,2.1307577548759458,2523.5035282861013,1877.887431311245,1022.5495058909328,0.1038983051325568,6.844352876689347e-05
25,2020-11-23,3,CH4,N2O,N2,290.5415158583094,3.4873852479575733,101325.0,101365.85016833992,2.5991018391679304,1.0,1.082390440149562,0.0007143653399989,0.2,0.3862537055137746,8.064003131265126e-05,2001.500938086304,2.655299973493967,2659.482735881376,2031.4643652269865,1108.293680248382,0.3862537055137746,8.064003131265126e-05
26,2020-11-26,3,CH4,N2O,CO2,290.78008443150657,3.4873852666446097,101325.0,101380.17919942904,2.8903205776988115,0.7,0.7418276262564489,0.0004799068784347,0.2,0.2073887268199203,7.623872100792156e-05,1805.07614213198,2.159698106023387,2586.44098052237,1875.3763127594289,1014.8328176315284,0.2073887268199203,7.623872100792156e-05
27,2020-11-25,3,CH4,N2O,CO2,289.8307320929288,3.4873852501471965,101325.0,101359.21368963088,3.169952794964408,0.4,0.4216415716391352,0.0004559809890056,0.1,0.1053287130390177,8.500732284247166e-05,1763.3057851239669,2.06090161647418,2520.5701410236147,1876.2377065756923,1021.6195482929136,0.1053287130390177,8.500732284247166e-05
28,2020-12-07,3,CH4,N2O,CO2,289.8707680418229,3.4873852858119765,101325.0,101442.07197024443,3.0840998106098967,1.0,1.0473954097586156,0.0004119700515177,0.1,0.1034646925942489,6.992106483995698e-05,2043.67816091954,2.7683882876422934,2795.872766073233,2077.301646852577,1123.2558425752063,0.1034646925942489,6.992106483995698e-05
29,2020-11-24,3,CH4,N2O,N2,289.9571651575458,3.487385281638567,101325.0,101383.0671942587,2.636410179697042,1.0,1.0612057420122991,0.0005104192176495,0.2,0.3855132877332795,6.044450807915991e-05,1975.555555555556,2.586905055452437,2659.2937340783405,2028.2521680406417,1106.4412644248878,0.3855132877332795,6.044450807915991e-05
30,2020-11-23,4,CH4,N2O,N2,290.5731766393087,3.4873851846733643,101325.0,101353.1141796362,2.605537355179964,1.0,1.0745959166034729,0.0006698496574582,0.2,0.3866876506619623,7.153789403919896e-05,1979.2207792207791,2.596512865403638,2658.7822071916094,2029.8322574984957,1107.402482009947,0.3866876506619623,7.153789403919896e-05
31,2020-11-26,4,CH4,N2O,CO2,290.27473090053405,3.4873852249869124,101325.0,101376.31686855853,2.467441181420252,1.0,1.0599610935395023,0.0005277227361654,0.2,0.2071814413811235,7.799889856096371e-05,1905.0,2.4054257467153697,2663.5858100468117,1949.665441132859,1053.359213035121,0.2071814413811235,7.799889856096371e-05
32,2020-12-10,4,CH4,N2O,N2,289.1411675589158,3.487385265610468,101325.0,101347.4648891914,2.8008161042572857,0.4,0.4165101147069183,0.0002842066403574,0.1,0.1794430017843058,5.340989050865256e-05,1901.6042780748664,2.3968578968989687,2520.065298598233,1926.7838933962196,1055.0830329935327,0.1794430017843058,5.340989050865256e-05
33,2020-12-08,4,CH4,N2O,CO2,290.63653080034805,3.4873852370291405,101325.0,101381.34304745642,4.013794123761086,0.7,0.731420607028512,0.000323193339415,0.1,0.1031234719501466,5.816948901786671e-05,1950.2742230347349,2.521119064499844,2722.0094666078357,1992.6771355177784,1078.8730872988276,0.1031234719501466,5.816948901786671e-05
34,2020-12-07,4,CH4,N2O,CO2,289.5883648589679,3.4873852163812957,101325.0,101430.93404565143,2.85391740823754,1.0,1.0492591804807014,0.0003857269472299,0.15,0.1545006065378526,6.180724951666755e-05,1968.2656826568264,2.5678487294901062,2731.191149978054,2013.247519864561,1088.0433924703098,0.1545006065378526,6.180724951666755e-05
35,2020-11-26,5,CH4,N2O,CO2,289.57467975361715,3.493192680836468,101325.0,101387.05532580455,2.441019232313907,0.4,0.4208756979540664,0.0004963915408171,0.15,0.1558238225291024,7.692065887146004e-05,1720.645161290323,1.9623868734910757,2442.988040765777,1821.8648989422936,992.4525129485188,0.1558238225291024,7.692065887146004e-05
36,2020-12-10,5,CH4,N2O,N2,289.11131707856407,3.487385211543791,101325.0,101362.28720631736,2.713899063559613,0.7,0.7294201856902124,0.0003237863031459,0.1,0.2134260622820037,5.324827100383551e-05,2016.6351606805288,2.695607556326363,2722.303188094464,2033.841408944546,1106.7563774142425,0.2134260622820037,5.324827100383551e-05
37,2020-11-23,5,CH4,N2O,N2,290.2310287901633,3.487385223049344,101325.0,101351.01701363835,2.278327049008675,0.7,0.7376552117718309,0.000491290621884,0.1,0.2158301375472686,7.316361492650103e-05,1986.5921787709497,2.615889759890728,2724.4359882905,2035.2810898686191,1107.5455543703938,0.2158301375472686,7.316361492650103e-05
